"os_id","contribution_date","name","address","country_code","country_name","lat","lng","sector","contributor (list)","number_of_workers","parent_company","processing_type_facility_type_raw","facility_type","processing_type","product_type","is_closed"
"IN20223391Y6XZD","2022-12-05","4 Star Textiles","4A-4B-4A1, Block No. 286, Nr. Gopal fiber, Kim - Mandvi Road, Village : Karanj","IN","India",22.833334,69.3554783,"Apparel","An Auditor / Certification Scheme / Service Provider","","","","","","","False"
"IN2023019A1W27R","2023-01-19","‘AAA' Textiles (P) Ltd","3/161, Ponnandampalayam, Kaniyur Post, Karumathampatti,","IN","India",11.0932342,77.14684190000001,"Apparel","An Auditor / Certification Scheme / Service Provider","","","","","","","False"
"IN20223300ESX5C","2022-11-26","Aadhavan Textiles Printing","SF.No.84/A, Muthusolipalayam, P.Kulathupalayam, Pavitharam (PO),","IN","India",11.0480348,77.949593,"Apparel","An Auditor / Certification Scheme / Service Provider","","","","","","","False"
"IN2024356KYN2PB","2024-12-20","AADHYANTH TEXTILES INDIA PRIVATE LIMITED","C/0 ETTA MOHAN REDDY, P NO. 102 & 103K V Reddy Nagar, Gundlapochampally, Hyderabad, TG","IN","India",17.5348845,78.4890574,"Textiles","Open Supply Hub Research Team [Public Data] (December 20 2024)","","","","","","","False"
"IN2023352MKM0PS","2023-12-18","AB COTTON TEXTILES PVT. LTD.","NEAR SPORTKING FACTORY, 684 25-0,FARIDKOT ROAD, VILLAGE JEEDA","IN","India",30.6824289,74.7501709,"Apparel","An Auditor / Certification Scheme / Service Provider","","","","","","","False"
"IN2023082P356T6","2023-03-23","ABC TextileS","SF.NO:61/4F,
 Unjavelampatti Road,
 Kanchampatti, Pollachi","IN","India",10.6608925,77.00475899999999,"Apparel","An Auditor / Certification Scheme / Service Provider","","","","","","","False"
"IN2023082Q9SWGD","2023-03-23","ABC TEXTILES","SF.NO:249/1, THANTHAI PERIYAR NAGAR SALAI, PONNAN THOTTAM, MURUGAMPALAYAM, IDUVAMPALAYAM (PO)","IN","India",11.0638168,77.3188583,"Apparel","An Auditor / Certification Scheme / Service Provider","","","","","","","False"
"IN2020191N8KR4J","2020-07-09","Abeer Textile Pvt Ltd","Arvind Limited Premises, PO Khatrej, Tal Kalol , Dist Gandhinagar, Ahmedabad","IN","India",23.1360123,72.4439694,"Apparel","Better Cotton (Better Cotton Initiative June 2020)|Better Cotton (Better Cotton Initiative May 2021)","","","","","","","False"
"IN2024003CK9SJN","2024-01-03","A.C.TEXTILE MILLS","D/NO.2/1286,178/1,2 MANICKAPURAM ROAD,RASAGOUNDENPALAYAM","IN","India",10.996061,77.28107349999999,"Apparel|Plastics|Textiles","Ecocert [Public List] (Ecocert - September 2024 Production Locations List)|An Auditor / Certification Scheme / Service Provider","",""," Processor|Manufacturer ","","Processor|Manufacturer"," Textile Products","False"
"IN20223308Q3016","2022-11-26","Adhithiya Textiles Process","Sf.No: 456/1, 453/2, Avarapalayam, Veerapandi Post, Karaipudur Village, Palladam (Tk)","IN","India",11.0270643,76.9830277,"Apparel","An Auditor / Certification Scheme / Service Provider|An Auditor / Certification Scheme / Service Provider","","","","","","","False"
